,word,positive,negative
363,end,94,166
364,anyone,88,136
365,crying,52,110
366,"day,",69,22
367,came,76,64
368,summer,188,73
369,talk,111,169
370,congratulations,66,3
371,watch,224,228
372,true,67,256
373,win,94,58
374,part,124,150
375,song,76,113
376,forever,52,60
377,believe,59,133
378,coming,109,99
379,fans,80,66
380,lebron,48,2
381,though,99,168
382,months,48,46
383,@,101,53
384,crazy,71,38
385,cause,77,121
386,meet,97,84
387,play,230,131
388,send,60,64
389,yo,61,50
390,yourself,79,65
391,lovely,65,24
392,5,121,69
393,full,102,61
394,couple,76,40
395,matter,54,45
396,&gt,47,199
397,o,86,52
398,lil,59,62
399,@youtube,260,128
400,school,150,136
401,genuinely,44,35
402,he's,0,0
403,bitch,61,79
404,i'd,0,0
405,damn,62,165
406,job,82,58
407,celebrate,99,12
408,sam,44,18
409,stop,133,214
410,lots,161,37
411,working,114,67
412,own,101,110
413,money,95,122
414,story,84,124
415,call,88,87
416,others,50,45
417,able,66,114
418,told,53,84
419,must,78,84
420,follow,78,85
421,enough,79,94
422,whatever,58,31
423,maybe,89,116
424,left,63,210
425,wrong,57,111
426,m,91,61
427,die,46,68
428,@younghollywood,33,0
429,away,89,155
430,kpop,33,10
431,h,70,71
432,kind,83,104
433,lucky,59,25
434,once,73,89
435,start,116,84
436,until,146,88
437,didn't,0,0
438,liked,77,99
439,few,109,101
440,seen,56,91
441,@hellznoyo,34,0
442,far,84,81
443,@afinekimmie,34,0
444,tweet,56,102
445,@krsbme,34,0
446,gets,73,79
447,behind,62,35
448,sister,86,39
449,national,47,15
450,welcome,64,15
451,share,79,30
452,th,108,82
453,month,72,58
454,@litlmarie44,33,0
455,ok,76,123
456,hell,69,55
457,doesn't,0,0
458,read,97,102
459,@bts_twt,48,78
460,@luvekth,29,0
461,cool,89,47
462,check,179,45
463,yet,68,133
464,sooo,49,28
465,yeah,99,146
466,theyre,64,110
467,y,55,71
468,living,59,35
469,babe,45,27
470,which,93,99
471,ily,34,37
472,fan,65,87
473,started,71,58
474,okay,67,174
475,bit,113,82
476,via,246,44
477,wishes,36,7
478,least,74,75
479,she's,0,0
480,@sheliabthornton,31,0
481,deserves,40,19
482,growing,46,16
483,account,43,51
484,each,77,54
485,change,44,65
486,lmao,82,129
487,use,104,99
488,guess,75,95
489,ask,59,64
490,fourth,62,7
491,taking,87,56
492,times,145,128
493,ha,58,31
494,2018,91,20
495,else,59,66
496,safe,109,33
497,youve,45,24
498,angel,36,30
499,gorgeous,63,7
500,@lisahinton08,30,0
501,idk,51,126
502,son,41,30
503,aint,54,51
504,loved,63,62
505,yay,48,11
506,ate,36,40
507,saying,65,88
508,leave,52,129
509,@joycepring,28,0
510,mind,44,45
511,loves,38,29
512,words,48,39
513,kid,56,42
514,lets,99,37
515,took,58,66
516,18th,32,3
517,season,75,83
518,doesnt,59,100
519,dad,52,59
520,girls,132,70
521,ago,61,86
522,stuff,99,92
523,definitely,74,45
524,felt,36,61
525,joy,38,15
526,positive,28,14
527,party,112,57
528,perfect,63,30
529,house,79,101
530,ye,27,8
531,alive,31,28
532,past,47,52
533,tears,26,36
534,kids,307,84
535,@pattistarz,28,0
536,@pomklementieff,25,0
537,de,116,40
538,either,45,52
539,relationship,35,18
540,hello,54,40
541,boo,31,33
542,gotta,51,62
543,wants,60,64
544,@mitteremary,25,0
545,strong,42,31
546,america,30,40
547,thankful,30,12
548,lately,36,29
549,|,43,19
550,lady,44,20
551,sometimes,71,96
552,@realdonaldtrump,50,229
553,blessings,26,4
554,mr,41,53
555,maythefourthbewithyou,50,2
556,future,50,28
557,gave,29,42
558,idea,67,25
559,let's,0,0
560,missed,48,139
561,name,61,65
562,haha,71,42
563,anymore,46,146
564,bring,86,66
565,food,93,61
566,wont,35,140
567,young,70,57
568,playing,171,78
569,happened,46,90
570,fact,169,73
571,seem,53,33
572,community,70,18
573,soooo,31,25
574,reason,49,70
575,trump,47,119
576,used,76,103
577,hap,24,2
578,they're,0,0
579,following,36,12
580,moment,37,47
581,queen,34,17
582,announce,29,9
583,health,43,40
584,won,44,15
585,everybody,38,20
586,isnt,65,98
587,scenes,41,8
588,aww,37,46
589,parents,56,60
590,forget,69,45
591,laugh,42,35
592,you'll,0,0
593,gone,45,77
594,eat,56,102
595,dog,48,76
596,sis,31,27
597,viruses,25,0
598,watch:,25,0
599,@rhobellevue,22,0
600,red,39,22
601,high,66,68
602,homie,20,3
603,d,61,44
604,talking,57,93
605,yesterday,82,51
606,han,29,7
607,6,52,37
608,hair,52,72
609,"today,",51,24
610,sa,28,54
611,car,58,64
612,"friday,",45,2
613,half,43,37
614,:d,46,9
615,y'all,0,0
616,three,38,45
617,might,73,62
618,havent,36,102
619,there's,0,0
620,listen,52,92
621,jang,23,0
622,content,34,19
623,loving,42,14
624,continue,28,27
625,af,38,61
626,open,76,38
627,everyday,27,34
628,suk,23,0
629,art,61,27
630,luck,47,54
631,different,47,51
632,soul,28,38
633,second,48,33
634,geun,23,0
635,na,27,72
636,fiesta,35,0
637,pentagon,21,4
638,l,52,32
639,means,42,50
640,po,24,13
641,tho,58,151
642,wife,30,31
643,c,47,50
644,book,70,31
645,ri,24,2
646,rest,46,70
647,mother,30,21
648,buddy,35,15
649,(,30,149
650,mothers,29,9
651,run,105,42
652,smiling,28,14
653,alone,45,88
654,mad,48,86
655,sleep,47,120
656,understand,38,86
657,probably,54,142
658,switc,22,0
659,1st,40,13
660,theres,47,87
661,quite,45,46
662,giving,40,40
663,james,29,22
664,dance,61,30
665,:(,41,8582
666,21st,24,2
667,met,38,51
668,hours,59,117
669,"it,",58,40
670,woman,28,41
671,:,68,169
672,side,41,33
673,later,39,29
674,hang,78,43
675,buy,44,90
676,small,34,41
677,students,84,23
678,waiting,43,45
679,@troyesivan,24,14
680,single,36,34
681,chance,62,44
682,fake,33,65
683,boys,59,56
684,//,17,14
685,jack,27,14
686,lose,33,58
687,graduation,34,17
688,kcon,16,4
689,says,54,45
690,bed,35,62
691,p,80,47
692,self,37,29
693,turned,28,35
694,ready,100,50
695,couldnt,36,77
696,wouldnt,33,39
697,instead,45,69
698,@null,21,0
699,important,47,35
700,beyond,28,22
701,close,32,65
702,sooooo,21,9
703,success,33,5
704,starwars,72,4
705,cake,25,6
706,wished,19,5
707,tired,35,101
708,comes,46,44
709,wasnt,33,72
710,thinking,48,107
711,games,274,39
712,heres,40,9
713,gift,36,9
714,alex,28,18
715,"life,",33,13
716,heard,40,54
717,celebrating,47,7
718,tbh,37,62
719,cavs,18,4
720,@trishtrashers,23,0
721,brotha,17,0
722,@mainedcm,19,0
723,point,50,74
724,bff,19,9
725,r,59,67
726,here's,0,0
727,@dulehill,14,0
728,"well,",56,23
729,finished,44,36
730,kconlivechat,15,0
731,34thmainesary,17,0
732,during,64,49
733,fresh,35,4
734,labour,15,8
735,greysanatomy,17,4
736,black,38,53
737,media,44,61
738,hahaha,24,22
739,movie,88,70
740,hit,49,57
741,class,78,43
742,kconxyounghollywood,15,0
743,become,45,62
744,2nd,33,23
745,sir,28,6
746,club,67,30
747,final,38,38
748,grow,27,21
749,bought,21,44
750,dawg,19,6
751,ugh,28,102
752,weeks,53,66
753,whenever,25,44
754,mama,26,8
755,cinco,92,6
756,business,37,17
757,fav,23,28
758,hurt,31,77
759,kinda,42,170
760,pls,25,146
761,x,67,51
762,prayer,16,2
763,seriously,39,42
764,weird,39,42
765,godbless,14,1
766,pictures,50,40
767,short,48,32
768,feels,30,64
769,goes,40,55
770,whats,45,69
771,using,63,33
772,7,48,26
773,head,54,68
774,10,83,49
775,@camilluddington,18,0
776,called,52,52
777,reading,65,39
778,mo,23,15
779,em,25,14
780,forward,71,36
781,ny,22,11
782,asked,43,46
783,picture,40,40
784,join,294,23
785,knew,29,73
786,hands,31,21
787,@babelaufenberg,13,0
788,entire,36,28
789,8,42,22
790,listening,31,66
791,you've,0,0
792,dead,28,85
793,age,36,23
794,luv,18,20
795,starting,43,36
796,move,34,46
797,cuz,33,39
798,huge,43,36
799,arizona,19,9
800,coach,36,23
801,k,31,14
802,~,28,8
803,"yeah,",44,23
804,phone,45,73
805,social,51,37
806,worth,43,24
807,light,32,23
808,episode,47,69
809,celebration,34,3
810,finals,32,24
811,fine,32,41
812,outside,43,21
813,ma,32,19
814,under,33,43
815,happen,31,69
816,e,55,24
817,lost,38,151
818,thoughts,24,24
819,store,35,24
820,top,59,39
821,"now,",39,28
822,king,26,21
823,seems,57,61
824,goal,21,8
825,v,34,23
826,peace,19,33
827,weight,23,11
828,completely,26,25
829,needed,27,27
830,college,37,50
831,asf,19,30
832,willie,14,1
833,enjoying,41,7
834,sm,20,38
835,greatest,23,6
836,city,52,41
837,enjoyed,54,10
838,christina,11,2
839,20,27,26
840,youll,36,30
841,green,26,18
842,we'll,0,0
843,born,41,20
844,album,26,27
845,aw,25,76
846,especially,46,42
847,songs,23,93
848,me:,25,31
849,mine,39,62
850,ones,48,51
851,turn,34,47
852,babies,26,34
853,eyes,25,58
854,choose,20,20
855,longer,20,36
856,b-day,13,0
857,girly,13,6
858,grateful,17,13
859,sitting,32,39
860,mother's,0,0
861,worry,24,24
862,won't,0,0
863,pill,16,2
864,lit,20,12
865,confused,16,21
866,ppl,31,72
867,women,32,70
868,appreciate,23,23
869,member,20,13
870,swear,27,33
871,decided,32,28
872,@pasweeet,17,0
873,fall,28,50
874,cut,25,33
875,imagine,41,51
876,pic,27,29
877,sharing,47,8
878,cat,31,60
879,april,29,15
880,weather,47,34
881,brought,23,21
882,evening,44,7
883,dream,38,44
884,@arreagasperez,14,0
885,robert,24,5
886,pray,18,21
887,easy,55,33
888,f,81,33
889,12,29,21
890,date,41,34
891,st,43,17
892,fat,25,27
893,cannot,27,38
894,published,19,3
895,dreams,17,15
896,isn't,0,0
897,running,36,15
898,wonder,36,45
899,power,35,60
900,agree,32,44
901,worst,23,51
902,eve,20,6
903,group,77,48
904,eating,30,28
905,lyft,9,0
906,folks,31,26
907,sound,51,30
908,toronto,18,14
909,extremely,18,34
910,needs,36,55
911,@nic_hamilton,12,1
912,fantastic,45,10
913,18,29,10
914,room,47,45
915,visit,55,20
916,break,33,56
917,@eyesrrolling,15,0
918,hold,23,36
919,hot,57,46
920,we'd,0,0
921,@nateberkus,14,0
922,haven't,0,0
923,daughter,26,16
924,exactly,27,52
925,wtf,19,72
926,memories,40,31
927,princess,32,8
928,bby,16,30
929,rather,27,41
930,awww,20,31
931,@cesc4official,11,0
932,drink,43,23
933,blast,34,7
934,between,41,34
935,sunshine,29,10
936,tweets,32,57
937,meeting,34,16
938,changed,20,25
939,@tin15tiamzon,14,0
940,"love,",23,7
941,body,34,37
942,sex,38,24
943,soo,18,14
944,"so,",27,17
945,bet,47,21
946,@lukelaufenberg,10,0
947,sun,75,23
948,"sad,",12,393
949,videos,49,38
950,depressed,17,40
951,passed,17,32
952,"up,",26,19
953,mayo,81,6
954,aka,19,5
955,simple,29,9
956,photo,50,21
